_seed1_s4-12-1_a4-2
2021-10-05_17-09-13	0	to save:  19, pool size = 100, survivor count = 20, games per cycle = 20, mutation rate = 0.5, mutation degree = 0.25
2021-10-05_18-12-54	155	duration:27.160563	[17,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13]
2021-10-05_18-13-23	156	duration:29.191747	[16,16,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12]
2021-10-05_18-13-51	157	duration:28.028459	[16,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13]
2021-10-05_18-14-20	158	duration:28.115261	[17,16,16,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-14-48	159	duration:28.328663	[17,17,16,16,15,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13]
2021-10-05_18-15-17	160	duration:28.792467	[17,16,16,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13]
2021-10-05_18-15-44	161	duration:27.474814	[16,16,16,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-16-11	162	duration:26.670175	[16,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12]
2021-10-05_18-16-42	163	duration:30.776832	[18,17,16,16,16,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-17-11	164	duration:29.811981	[17,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-17-39	165	duration:27.803776	[16,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13]
2021-10-05_18-18-07	166	duration:27.661956	[16,16,16,16,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-18-35	167	duration:27.956953	[17,16,16,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-19-03	168	duration:27.701633	[16,16,15,15,15,15,15,15,15,15,14,14,13,13,13,13,13,13,13,13]
2021-10-05_18-19-29	169	duration:26.733181	[15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-19-57	170	duration:27.84914	[16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-20-26	171	duration:29.330044	[17,17,16,16,16,15,15,15,15,14,14,13,13,13,13,13,13,13,13,13]
2021-10-05_18-20-55	172	duration:28.425637	[17,16,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,13,13,13]
2021-10-05_18-21-24	173	duration:29.038055	[16,16,16,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-21-55	174	duration:30.822131	[16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-22-26	175	duration:31.274291	[17,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12]
2021-10-05_18-22-55	176	duration:28.613682	[16,16,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13]
2021-10-05_18-23-22	177	duration:27.444519	[16,16,16,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-23-49	178	duration:27.106766	[16,16,16,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-24-17	179	duration:28.003338	[16,16,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13]
2021-10-05_18-24-47	180	duration:29.391682	[16,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12,12]
2021-10-05_18-25-24	181	duration:37.06178	[15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13]
2021-10-05_18-26-08	182	duration:44.343176	[16,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-26-53	183	duration:45.467671	[16,15,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12]
2021-10-05_18-27-32	184	duration:38.482094	[16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13]
2021-10-05_18-28-04	185	duration:31.627855	[16,15,15,15,15,15,14,14,14,13,13,13,12,12,12,12,12,12,12,12]
2021-10-05_18-28-32	186	duration:28.636838	[16,16,16,16,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-29-00	187	duration:27.448388	[16,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-29-29	188	duration:29.369322	[17,16,16,16,16,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-29-56	189	duration:26.660001	[17,17,16,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12]
2021-10-05_18-30-23	190	duration:27.248833	[17,16,16,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-30-51	191	duration:28.612018	[17,16,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-31-19	192	duration:27.749961	[16,16,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,13]
2021-10-05_18-31-49	193	duration:29.408447	[16,16,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-32-19	194	duration:29.988341	[17,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12]
2021-10-05_18-32-47	195	duration:28.066431	[16,16,16,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-33-15	196	duration:28.502416	[17,17,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14]
2021-10-05_18-33-44	197	duration:29.213974	[16,16,16,16,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-34-13	198	duration:28.625629	[16,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13]
2021-10-05_18-34-41	199	duration:28.161423	[18,16,16,16,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13]
2021-10-05_18-35-10	200	duration:28.55579	[15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-35-39	201	duration:28.953795	[16,16,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-36-08	202	duration:29.655067	[16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13]
2021-10-05_18-36-38	203	duration:29.223283	[15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-37-06	204	duration:27.987542	[16,16,16,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13]
2021-10-05_18-37-37	205	duration:31.085249	[17,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13]
2021-10-05_18-38-04	206	duration:27.103782	[16,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13]
2021-10-05_18-38-32	207	duration:28.179249	[15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-39-00	208	duration:27.598377	[17,16,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13]
